Name,Platform,Genre,Global_Sales
Wii Sports,Wii,Sports,82.74
Super Mario Bros.,NES,Platform,40.24
Mario Kart Wii,Wii,Racing,35.82
Wii Sports Resort,Wii,Sports,33.0
Pokemon Red/Pokemon Blue,GB,Role-Playing,31.37
Tetris,GB,Puzzle,30.26
New Super Mario Bros.,DS,Platform,30.01
Wii Play,Wii,Misc,29.02
New Super Mario Bros. Wii,Wii,Platform,28.62
Duck Hunt,NES,Shooter,28.31
Nintendogs,DS,Simulation,24.76
Mario Kart DS,DS,Racing,23.42
Pokemon Gold/Pokemon Silver,GB,Role-Playing,23.1
Wii Fit,Wii,Sports,22.72
Wii Fit Plus,Wii,Sports,22.0
Kinect Adventures!,X360,Misc,21.82
Grand Theft Auto V,PS3,Action,21.4
Grand Theft Auto: San Andreas,PS2,Action,20.81
Super Mario World,SNES,Platform,20.61
Brain Age: Train Your Brain in Minutes a Day,DS,Misc,20.22
Pokemon Diamond/Pokemon Pearl,DS,Role-Playing,18.36
Super Mario Land,GB,Platform,18.14
Super Mario Bros. 3,NES,Platform,17.28
Grand Theft Auto V,X360,Action,16.38
Grand Theft Auto: Vice City,PS2,Action,16.15
Pokemon Ruby/Pokemon Sapphire,GBA,Role-Playing,15.85
Pokemon Black/Pokemon White,DS,Role-Playing,15.32
Brain Age 2: More Training in Minutes a Day,DS,Puzzle,15.3
Gran Turismo 3: A-Spec,PS2,Racing,14.98
Call of Duty: Modern Warfare 3,X360,Shooter,14.76
Pok̩mon Yellow: Special Pikachu Edition,GB,Role-Playing,14.64
Call of Duty: Black Ops,X360,Shooter,14.64
Pokemon X/Pokemon Y,3DS,Role-Playing,14.35
Call of Duty: Black Ops 3,PS4,Shooter,14.24
Call of Duty: Black Ops II,PS3,Shooter,14.03
Call of Duty: Black Ops II,X360,Shooter,13.73
Call of Duty: Modern Warfare 2,X360,Shooter,13.51
Call of Duty: Modern Warfare 3,PS3,Shooter,13.46
Grand Theft Auto III,PS2,Action,13.1
Super Smash Bros. Brawl,Wii,Fighting,13.04
Call of Duty: Black Ops,PS3,Shooter,12.73
